date,desemprego,emprego,net empregos,olx emprego,subsidio desemprego,iefp,centro de emprego,linkedin,ofertas emprego
01/03/2021,65,36,34,35,59,49,23,72,50
01/04/2021,58,38,36,37,58,47,22,67,51
01/05/2021,50,37,35,34,47,58,22,68,47
01/06/2021,48,32,33,30,50,49,21,61,47
01/07/2021,44,32,33,24,44,47,21,58,44
01/08/2021,44,31,32,27,43,37,20,49,46
01/09/2021,50,40,39,31,52,53,24,66,55
01/10/2021,46,39,38,30,49,50,22,65,51
01/11/2021,47,34,36,29,45,45,18,67,50
01/12/2021,48,24,29,21,54,37,14,60,37
01/01/2022,60,37,41,32,66,51,19,74,53
01/02/2022,49,36,44,33,42,52,19,80,55
01/03/2022,47,40,45,43,52,55,19,82,48
01/04/2022,42,33,40,33,38,44,16,72,47
